,src,dst,index
0,au,africaine,4
1,au,peut,1
2,dans,au,1
3,dans,pay,1
4,pay,colonne,1
5,pay,peut,1
6,que,au,4
7,que,pay,1
8,anglophone,diviseur,1
9,anglophone,le,2
10,commencent,anglophone,2
11,commencent,invite,3
12,commencent,pay,1
13,dans,anglophone,1
14,dans,invite,2
15,invite,le,4
16,invite,table,1
17,pay,le,2
18,un,pay,1
19,christiane,ete,1
20,christiane,parle,2
21,ete,dinspiration,1
22,parle,dinspiration,1
23,parle,femme,1
24,february,freeallareste,1
25,february,support,2
26,freeallareste,freesoutherncameroon,1
27,support,freesoutherncameroon,1
28,support,government,1
29,ig,look,1
30,ig,move,1
31,la,move,1
32,look,plan,1
33,move,fortune,1
34,move,generation,1
35,move,plan,2
36,ndi,move,2
37,ndi,want,1
38,want,plan,1
39,ask,cameroon,2
40,ask,situation,1
41,demonstrate,message,1
42,demonstrate,situation,1
43,nations,ask,1
44,nations,demonstrate,1
45,nations,think,2
46,think,cameroon,1
47,think,message,1
48,think,situation,3
49,understand,message,1
50,urgency,ask,1
51,urgency,demonstrate,1
52,urgency,think,2
53,voyoux,ask,1
54,voyoux,think,1
55,voyoux,understand,1
56,ali,note,2
57,ali,say,3
58,explain,karim,2
59,herbert,say,1
60,karim,explain,2
61,karim,note,2
62,karim,say,1
63,note,abduction,1
64,note,division,1
65,note,honor,1
66,note,karim,1
67,say,abduction,1
68,say,division,2
69,say,honor,1
70,say,karim,1
71,abouti,le,2
72,abouti,pie,1
73,casque,assaillant,2
74,casque,exaction,1
75,dans,casque,3
76,dans,le,1
77,le,assaillant,1
78,le,exaction,1
79,le,pillage,1
80,pie,assaillant,1
81,nagy,say,1
82,say,crisis,1
83,par,separatiste,1
84,separatiste,population,1
85,announce,www,2
86,president,announce,1
87,yaounde,announce,1
88,auteur,massacre,1
89,proces,auteur,1
90,dans,separatiste,1
91,dans,sont,1
92,la,separatiste,1
93,la,sont,2
94,la,sortie,1
95,notre,separatiste,1
96,notre,sortie,1
97,separatiste,crise,1
98,separatiste,page,1
99,separatiste,refuson,1
100,sont,crise,2
101,sont,heure,2
102,sont,presidentielle,1
103,sortie,crise,2
104,sortie,sardinard,1
105,sur,sont,2
106,sur,sortie,1
107,ce,se,1
108,dans,se,3
109,mais,se,1
110,se,botte,1
111,se,meme,2
112,se,sujet,2
113,fight,crisis,1
114,fight,lesson,1
115,lady,root,1
116,lady,want,2
117,ndoki,fight,2
118,ndoki,root,1
119,ndoki,want,3
120,root,crisis,1
121,root,lesson,1
122,want,detainee,1
123,want,lesson,1
124,want,right,3
125,bafut,get,3
126,bafut,know,2
127,bafut,occupy,4
128,bafut,say,3
129,cna,know,2
130,cna,occupy,1
131,cna,remain,1
132,cna,say,1
133,get,fighter,2
134,get,retreat,1
135,know,area,2
136,know,civilian,1
137,know,fighter,2
138,occupy,area,4
139,occupy,fighter,1
140,prince,know,1
141,remain,retreat,1
142,say,area,1
143,say,civilian,1
144,say,mortuary,1
145,say,retreat,1
146,follow,twitter,1
147,get,wum,1
148,incident,follow,1
149,incident,get,1
150,incident,react,1
